GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MaVille,com.maville.view,ResidentMenu,1628,0,148,0,450,0,107,0,23,0
MaVille,com.maville.view,IntervenantMenu,794,0,70,0,243,0,55,0,11,0
MaVille,com.maville.view,MainMenu,200,0,8,0,46,0,8,0,3,0
MaVille,com.maville.controller,ResidentController,41,0,8,0,13,0,7,0,3,0
MaVille,com.maville.controller,ProjetController,0,32,0,0,0,10,0,6,0,6
MaVille,com.maville.controller,PreferenceHoraireController,0,35,0,0,0,11,0,6,0,6
MaVille,com.maville.controller,IntervenantController,36,0,6,0,11,0,6,0,3,0
MaVille,com.maville.controller,RequeteTravailController,66,0,2,0,21,0,11,0,10,0
MaVille,com.maville.controller,AuthController,0,109,1,13,0,34,1,17,0,11
MaVille,com.maville.model,TypeProjet,87,0,0,0,16,0,4,0,4,0
MaVille,com.maville.model,Travail,59,0,0,0,20,0,14,0,14,0
MaVille,com.maville.model,Notification,49,20,0,0,16,7,11,2,11,2
MaVille,com.maville.model,Intervenant,51,46,1,3,17,14,12,7,11,6
MaVille,com.maville.model,PreferenceHoraire,64,21,0,0,25,8,9,4,9,4
MaVille,com.maville.model,Entrave,68,0,0,0,23,0,16,0,16,0
MaVille,com.maville.model,Resident,50,81,0,2,22,27,14,9,14,8
MaVille,com.maville.model,RequeteTravail,102,45,0,0,34,17,23,2,23,2
MaVille,com.maville.model,Projet,84,40,0,0,28,15,16,5,16,5
MaVille,com.maville.repository,PreferenceHoraireRepository,200,0,6,0,48,0,10,0,7,0
MaVille,com.maville.repository,ProjetRepository,275,0,6,0,68,0,9,0,6,0
MaVille,com.maville.repository,MongoDBConnection,22,0,2,0,8,0,3,0,2,0
MaVille,com.maville.repository,NotificationRepository,130,0,2,0,24,0,6,0,5,0
MaVille,com.maville.repository,ResidentRepository,197,0,4,0,48,0,8,0,6,0
MaVille,com.maville.repository,RequeteTravailRepository,436,0,10,0,104,0,15,0,10,0
MaVille,com.maville.repository,IntervenantRepository,149,0,4,0,35,0,7,0,5,0
MaVille,com.maville.app,App,95,0,0,0,19,0,2,0,2,0
MaVille,com.maville.service,PreferenceHoraireService,65,0,8,0,18,0,10,0,6,0
MaVille,com.maville.service,ProjetService,0,129,2,10,0,32,2,12,0,8
MaVille,com.maville.service,MongoDBService,149,0,4,0,40,0,7,0,5,0
MaVille,com.maville.service,PostalCodeMapper,79,0,6,0,22,0,7,0,4,0
MaVille,com.maville.service,NotificationService,0,51,0,2,0,14,0,6,0,5
MaVille,com.maville.service,TravauxEnCoursEtEntraveService,368,0,28,0,83,0,24,0,10,0
